TABLE_NAME,COLUMN_NAME,DATA_TYPE,COLLATION,NULLABLE,DEFINITION
CommunicationMailing,"""COMMUNICATION_KEY""","""INT""","""""","""NOT NULL""",COMMUNICATION_KEY INT  NOT NULL
CommunicationMailing,"""SENT""","""INT""","""""","""NOT NULL""",SENT INT  NOT NULL
CommunicationMailing,"""QUEUED""","""INT""","""""","""NOT NULL""",QUEUED INT  NOT NULL
CommunicationMailing,"""TOTAL""","""INT""","""""","""NOT NULL""",TOTAL INT  NOT NULL
CommunicationMailing,"""EXCEPTION""","""INT""","""""","""NOT NULL""",EXCEPTION INT  NOT NULL
CommunicationMailing,"""STATUS""","""INT""","""""","""NOT NULL""",STATUS INT  NOT NULL
CommunicationMailing,"""IS_STALE""","""BOOLEAN""","""""","""NOT NULL""",IS_STALE BOOLEAN  NOT NULL
CommunicationMailing,"""DATE_STARTED""","""TIMESTAMP_LTZ""","""""","""NULL""",DATE_STARTED TIMESTAMP_LTZ  NULL
CommunicationMailing,"""DATE_COMPLETED""","""TIMESTAMP_LTZ""","""""","""NULL""",DATE_COMPLETED TIMESTAMP_LTZ  NULL
CommunicationMailing,"""DATE_UPDATED""","""TIMESTAMP_LTZ""","""""","""NULL""",DATE_UPDATED TIMESTAMP_LTZ  NULL
DatasetRow,"""DATASET_ROW_KEY""","""BIGINT""","""""","""NOT NULL""",DATASET_ROW_KEY BIGINT  NOT NULL
DatasetRow,"""DATASET_KEY""","""INT""","""""","""NOT NULL""",DATASET_KEY INT  NOT NULL
DatasetRow,"""HAS_MESSAGE""","""BOOLEAN""","""""","""NOT NULL""",HAS_MESSAGE BOOLEAN  NOT NULL
DatasetValue,"""DATASET_VALUE_KEY""","""BIGINT""","""""","""NOT NULL""",DATASET_VALUE_KEY BIGINT  NOT NULL
DatasetValue,"""VALUE""","""VARCHAR(8000)""","""COLLATE en-ci""","""NOT NULL""",VALUE VARCHAR(8000) COLLATE en-ci NOT NULL
DatasetValue,"""VALUE_HASH""","""VARCHAR""","""""","""NULL""",VALUE_HASH VARCHAR  NULL
Datasource,"""DATASOURCE_KEY""","""INT""","""""","""NOT NULL""",DATASOURCE_KEY INT  NOT NULL
Datasource,"""NAME""","""VARCHAR(8000)""","""COLLATE en-ci""","""NOT NULL""",NAME VARCHAR(8000) COLLATE en-ci NOT NULL
Datasource,"""DEFINITION""","""VARCHAR(8000)""","""COLLATE en-ci""","""NOT NULL""",DEFINITION VARCHAR(8000) COLLATE en-ci NOT NULL
Datasource,"""TYPE""","""INT""","""""","""NOT NULL""",TYPE INT  NOT NULL
DeliveryStatus,"""DELIVERY_STATUS_KEY""","""INT""","""""","""NOT NULL""",DELIVERY_STATUS_KEY INT  NOT NULL
DeliveryStatus,"""NAME""","""VARCHAR(8000)""","""COLLATE en-ci""","""NOT NULL""",NAME VARCHAR(8000) COLLATE en-ci NOT NULL
DeliveryStatus,"""REFERENCE""","""VARCHAR(8000)""","""COLLATE en-ci""","""NOT NULL""",REFERENCE VARCHAR(8000) COLLATE en-ci NOT NULL
DeliveryStatus,"""LIMIT_PER_MESSAGE""","""INT""","""""","""NULL""",LIMIT_PER_MESSAGE INT  NULL
DeliveryStatus,"""IS_ERROR""","""BOOLEAN""","""""","""NOT NULL""",IS_ERROR BOOLEAN  NOT NULL
DeliveryStatus,"""IS_FINAL""","""BOOLEAN""","""""","""NOT NULL""",IS_FINAL BOOLEAN  NOT NULL
DeliveryStatus,"""DESCRIPTION""","""VARCHAR(8000)""","""COLLATE en-ci""","""NULL""",DESCRIPTION VARCHAR(8000) COLLATE en-ci NULL
Emoji,"""EMOJI_KEY""","""INT""","""""","""NOT NULL""",EMOJI_KEY INT  NOT NULL
Emoji,"""SHORT_NAME""","""VARCHAR(8000)""","""COLLATE en-ci""","""NULL""",SHORT_NAME VARCHAR(8000) COLLATE en-ci NULL
Emoji,"""DESCRIPTION""","""VARCHAR(8000)""","""COLLATE en-ci""","""NULL""",DESCRIPTION VARCHAR(8000) COLLATE en-ci NULL
Emoji,"""CODE""","""VARCHAR(8000)""","""COLLATE en-ci""","""NULL""",CODE VARCHAR(8000) COLLATE en-ci NULL
Folder,"""FOLDER_KEY""","""INT""","""""","""NOT NULL""",FOLDER_KEY INT  NOT NULL
Folder,"""NAME""","""VARCHAR(8000)""","""COLLATE en-ci""","""NULL""",NAME VARCHAR(8000) COLLATE en-ci NULL
Folder,"""CONTAINER_KEY""","""INT""","""""","""NOT NULL""",CONTAINER_KEY INT  NOT NULL
Folder,"""PARENT_FOLDER_KEY""","""INT""","""""","""NULL""",PARENT_FOLDER_KEY INT  NULL
Folder,"""IS_CATCH_ALL""","""BOOLEAN""","""""","""NOT NULL""",IS_CATCH_ALL BOOLEAN  NOT NULL
Folder,"""DELETE_AFTER_DAYS""","""INT""","""""","""NULL""",DELETE_AFTER_DAYS INT  NULL
MessageDeliveryStatus,"""MESSAGE_DELIVERY_STATUS_KEY""","""BIGINT""","""""","""NOT NULL""",MESSAGE_DELIVERY_STATUS_KEY BIGINT  NOT NULL
MessageDeliveryStatus,"""MESSAGE_KEY""","""BIGINT""","""""","""NOT NULL""",MESSAGE_KEY BIGINT  NOT NULL
MessageDeliveryStatus,"""DELIVERY_STATUS_KEY""","""INT""","""""","""NOT NULL""",DELIVERY_STATUS_KEY INT  NOT NULL
MessageDeliveryStatus,"""DATE_ENTERED""","""TIMESTAMP_LTZ""","""""","""NOT NULL""",DATE_ENTERED TIMESTAMP_LTZ  NOT NULL
MessageDeliveryStatus,"""DETAIL""","""VARCHAR(8000)""","""COLLATE en-ci""","""NULL""",DETAIL VARCHAR(8000) COLLATE en-ci NULL
FolderMessage,"""MESSAGE_KEY""","""BIGINT""","""""","""NOT NULL""",MESSAGE_KEY BIGINT  NOT NULL
FolderMessage,"""FOLDER_KEY""","""INT""","""""","""NOT NULL""",FOLDER_KEY INT  NOT NULL
FolderMessage,"""LOCKED_BY""","""VARCHAR(8000)""","""COLLATE en-ci""","""NULL""",LOCKED_BY VARCHAR(8000) COLLATE en-ci NULL
FolderMessage,"""IS_READ""","""BOOLEAN""","""""","""NOT NULL""",IS_READ BOOLEAN  NOT NULL
Parameter,"""PARAMETER_KEY""","""INT""","""""","""NOT NULL""",PARAMETER_KEY INT  NOT NULL
Parameter,"""NAME""","""VARCHAR(8000)""","""COLLATE en-ci""","""NOT NULL""",NAME VARCHAR(8000) COLLATE en-ci NOT NULL
Parameter,"""DEFINITION""","""VARCHAR(8000)""","""COLLATE en-ci""","""NOT NULL""",DEFINITION VARCHAR(8000) COLLATE en-ci NOT NULL
Parameter,"""DATASOURCE_KEY""","""INT""","""""","""NULL""",DATASOURCE_KEY INT  NULL
MessageStatusQueue,"""MESSAGE_STATUS_QUEUE_KEY""","""BIGINT""","""""","""NOT NULL""",MESSAGE_STATUS_QUEUE_KEY BIGINT  NOT NULL
MessageStatusQueue,"""DATA""","""VARCHAR(8000)""","""COLLATE en-ci""","""NOT NULL""",DATA VARCHAR(8000) COLLATE en-ci NOT NULL
MessageStatusQueue,"""DETAIL""","""VARCHAR(8000)""","""COLLATE en-ci""","""NOT NULL""",DETAIL VARCHAR(8000) COLLATE en-ci NOT NULL
MessageStatusQueue,"""TYPE""","""INT""","""""","""NOT NULL""",TYPE INT  NOT NULL
MessageStatusQueue,"""ENTERED_AT""","""datetime""","""""","""NOT NULL""",ENTERED_AT datetime  NOT NULL
MessageStatusQueue,"""CONTAINER_KEY""","""INT""","""""","""NULL""",CONTAINER_KEY INT  NULL
MessageStatusQueue,"""SERVER""","""VARCHAR(8000)""","""COLLATE en-ci""","""NULL""",SERVER VARCHAR(8000) COLLATE en-ci NULL
CampaignType,"""CAMPAIGN_TYPE_KEY""","""INT""","""""","""NOT NULL""",CAMPAIGN_TYPE_KEY INT  NOT NULL
CampaignType,"""NAME""","""VARCHAR(8000)""","""COLLATE en-ci""","""NOT NULL""",NAME VARCHAR(8000) COLLATE en-ci NOT NULL
TempMessage,"""TEMP_MESSAGE_KEY""","""INT""","""""","""NOT NULL""",TEMP_MESSAGE_KEY INT  NOT NULL
TempMessage,"""Json""","""VARCHAR(8000)""","""COLLATE en-ci""","""NULL""",Json VARCHAR(8000) COLLATE en-ci NULL
DeadMessages,"""MESSAGE_KEY""","""BIGINT""","""""","""NOT NULL""",MESSAGE_KEY BIGINT  NOT NULL
DeadMessages,"""SUBJECT""","""VARCHAR(8000)""","""COLLATE en-ci""","""NULL""",SUBJECT VARCHAR(8000) COLLATE en-ci NULL
DeadMessages,"""DATE_ENTERED""","""TIMESTAMP_LTZ""","""""","""NOT NULL""",DATE_ENTERED TIMESTAMP_LTZ  NOT NULL
DeadMessages,"""DATE_SENT""","""TIMESTAMP_LTZ""","""""","""NULL""",DATE_SENT TIMESTAMP_LTZ  NULL
DeadMessages,"""EXCEPTION""","""VARCHAR(8000)""","""COLLATE en-ci""","""NULL""",EXCEPTION VARCHAR(8000) COLLATE en-ci NULL
DeadMessages,"""CONTAINER_KEY""","""INT""","""""","""NULL""",CONTAINER_KEY INT  NULL
DeadMessages,"""COMMUNICATION_MAILING_KEY""","""INT""","""""","""NULL""",COMMUNICATION_MAILING_KEY INT  NULL
DeadMessages,"""TEMPLATE_KEY""","""INT""","""""","""NULL""",TEMPLATE_KEY INT  NULL
DeadMessages,"""IS_PRODUCTION""","""BOOLEAN""","""""","""NOT NULL""",IS_PRODUCTION BOOLEAN  NOT NULL
DeadMessages,"""DATASET_ROW_KEY""","""BIGINT""","""""","""NULL""",DATASET_ROW_KEY BIGINT  NULL
